,recording_session_label,image,num_of_presentation,fixation1,fixation2,fixation3,test_response
0,1,F46.jpg,3,8,9,9,-1
1,2,F46.jpg,3,7,7,6,-1
2,3,F46.jpg,3,7,11,8,0
3,4,F46.jpg,1,10,NA,NA,4
4,5,F46.jpg,3,10,9,8,0
5,6,F46.jpg,1,9,NA,NA,4
6,7,F46.jpg,3,12,12,9,-1
7,8,F46.jpg,3,10,9,8,-1
8,9,F46.jpg,3,11,11,6,0
9,10,F46.jpg,1,9,NA,NA,4
10,11,F46.jpg,3,11,13,11,1
11,12,F46.jpg,1,8,NA,NA,3
12,13,F46.jpg,3,7,7,7,-1
13,14,F46.jpg,3,7,4,8,-1
14,15,F46.jpg,3,10,8,8,2
15,16,F46.jpg,1,9,NA,NA,4
16,17,F46.jpg,3,9,6,2,0
17,18,F46.jpg,1,12,NA,NA,4
18,19,F46.jpg,3,9,10,8,-1
19,20,F46.jpg,3,7,9,9,-1
20,21,F46.jpg,3,13,13,12,0
21,22,F46.jpg,1,7,NA,NA,4
22,23,F46.jpg,3,11,8,8,0
23,24,F46.jpg,1,5,NA,NA,4
24,25,F46.jpg,3,9,8,11,-1
25,26,F46.jpg,3,9,9,9,-1
26,27,F46.jpg,3,8,10,7,0
27,28,F46.jpg,1,9,NA,NA,4
28,29,F46.jpg,3,12,10,9,0
29,30,F46.jpg,1,9,NA,NA,3
30,31,F46.jpg,3,10,13,7,-1
31,32,F46.jpg,3,7,8,5,-1
32,33,F46.jpg,3,7,10,9,0
33,34,F46.jpg,1,10,NA,NA,4
34,35,F46.jpg,3,11,10,9,0
35,36,F46.jpg,1,10,NA,NA,4
36,37,F46.jpg,3,6,11,8,-1
37,38,F46.jpg,3,10,11,11,-1
38,39,F46.jpg,3,13,12,12,1
39,40,F46.jpg,1,12,NA,NA,4
40,41,F46.jpg,3,8,6,4,0
41,42,F46.jpg,1,9,NA,NA,3
42,43,F46.jpg,3,10,9,9,-1
43,44,F46.jpg,3,6,8,12,-1
44,45,F46.jpg,3,9,9,9,0
45,46,F46.jpg,1,9,NA,NA,4
46,47,F46.jpg,3,9,10,9,1
47,48,F46.jpg,1,7,NA,NA,4
48,1,F173.jpg,1,7,NA,NA,4
49,2,F173.jpg,3,8,7,7,-1
50,3,F173.jpg,1,9,NA,NA,3
51,4,F173.jpg,3,12,9,10,1
52,5,F173.jpg,3,10,8,7,-1
53,6,F173.jpg,3,11,12,10,-1
54,7,F173.jpg,1,8,NA,NA,4
55,8,F173.jpg,3,7,5,8,0
56,9,F173.jpg,1,10,NA,NA,4
57,10,F173.jpg,3,10,9,10,-1
58,11,F173.jpg,3,8,2,9,-1
59,12,F173.jpg,3,8,5,7,-1
60,13,F173.jpg,1,7,NA,NA,4
61,14,F173.jpg,3,9,9,6,1
62,15,F173.jpg,1,6,NA,NA,4
63,16,F173.jpg,3,12,9,10,1
64,17,F173.jpg,3,10,9,13,-1
65,18,F173.jpg,3,8,3,9,-1
66,19,F173.jpg,1,10,NA,NA,4
67,20,F173.jpg,3,9,8,3,1
68,21,F173.jpg,1,12,NA,NA,4
69,22,F173.jpg,3,10,10,11,0
70,23,F173.jpg,3,8,9,10,-1
71,24,F173.jpg,3,10,8,9,-1
72,25,F173.jpg,1,8,NA,NA,3
73,26,F173.jpg,3,8,9,9,2
74,27,F173.jpg,1,7,NA,NA,4
75,28,F173.jpg,3,6,9,10,2
76,29,F173.jpg,3,11,14,11,-1
77,30,F173.jpg,3,5,5,5,-1
78,31,F173.jpg,1,10,NA,NA,4
79,32,F173.jpg,3,8,3,7,1
80,33,F173.jpg,1,7,NA,NA,4
81,34,F173.jpg,3,7,10,7,0
82,35,F173.jpg,3,11,12,11,-1
83,36,F173.jpg,3,13,13,12,-1
84,37,F173.jpg,1,7,NA,NA,3
85,38,F173.jpg,3,10,11,11,0
86,39,F173.jpg,1,12,NA,NA,4
87,40,F173.jpg,3,12,10,10,1
88,41,F173.jpg,3,9,8,8,-1
89,42,F173.jpg,3,8,8,5,-1
90,43,F173.jpg,1,10,NA,NA,4
91,44,F173.jpg,3,10,9,9,1
92,45,F173.jpg,1,9,NA,NA,4
93,46,F173.jpg,3,5,4,8,-1
94,47,F173.jpg,3,11,10,10,-1
95,48,F173.jpg,2,11,8,NA,-1
96,1,F107.jpg,3,8,8,7,2
97,2,F107.jpg,1,7,NA,NA,4
98,3,F107.jpg,3,9,9,9,-1
99,4,F107.jpg,3,11,8,10,-1
100,5,F107.jpg,1,10,NA,NA,3
101,6,F107.jpg,3,7,10,10,2
102,7,F107.jpg,3,9,8,10,0
103,8,F107.jpg,1,7,NA,NA,4
104,9,F107.jpg,3,10,6,9,-1
